id,y80,y90,y99,education80,trust80,trust96,norm80,norm96,structure_agriculture,structure_manufacture,inv8199,inv7680,igrate8199,igrate7680,korei80,agriculture_labor80,agriculture_rate80,kajyu80,neighbor80,did,perhieiri80,X
35,4.032823918,6.492172944,7.375606266,0.109808344,0.601060683,-0.549010383,0.248917274,0.067655962,55.67759705,54.80042617,0.207441239,0.222754295,0.084457333,0.108049676,0.17563888,0.137958896,0.039413966,0.108358185,1.46885663,0.44006631,0.038932,NA
36,3.347828792,5.599904141,6.575690057,0.099252884,0.328638616,0.399549537,0.2574367,0.00421044,42.90434128,48.93305341,0.189898022,0.210891302,0.112326942,0.132230159,0.179478897,0.194821546,0.080403336,0.123621497,1.229706882,0.268321174,0.03602,NA
37,3.895884404,6.228504596,6.911568705,0.114264036,-0.305654448,-0.120590936,0.030246445,-0.135471251,52.97256976,50.38794342,0.199924115,0.217404316,0.089325175,0.086798153,0.180736392,0.138727333,0.049524205,0.098219358,1.186483296,0.325782306,0.043474,NA
38,3.238467026,5.33243952,6.261677622,0.104830634,0.646126574,-6.69E-05,0.512054461,0.239463927,45.39542119,53.85622369,0.19634913,0.203437355,0.097826545,0.109876602,0.176378848,0.220510183,0.074156725,0.110767225,1.254112223,0.411876252,0.040593,NA
39,3.180963186,4.954015943,5.68354846,0.084681871,0.034990261,-0.377960367,0.137772069,-0.015561116,31.92287616,32.85684525,0.177760414,0.18431654,0.150503631,0.174145625,0.198931651,0.214416078,0.115928406,0.146192295,1.186483296,0.381612583,0.031603,NA
40,4.58414694,6.63781402,7.238423451,0.130647243,-0.485721459,-0.993792102,-0.305796413,-0.250213059,60.50826706,44.97077702,0.206253197,0.230229723,0.067517056,0.089499693,0.138599122,0.077643307,0.023991857,0.059939681,1.309589506,0.627608538,0.067079,NA
41,3.475568252,5.341495268,6.136696667,0.092928233,0.098799994,0.435652191,0.372756293,0.267942141,40.44800339,43.30070291,0.196278913,0.209485182,0.118834922,0.125858472,0.181978645,0.213944159,0.087957828,0.159261946,1.446997164,0.266331937,0.035147,NA
42,3.265076583,5.439864574,6.083131619,0.088730873,-0.22679208,0.176177479,-0.090237196,-0.078971665,39.00628946,36.9468277,0.194784618,0.203909831,0.120299125,0.121852549,0.163915795,0.188783095,0.088727881,0.106692343,1.245757991,0.414390116,0.052179,NA
43,3.397514363,5.614413819,6.125904571,0.093106859,1.167352021,1.139251418,0.287263252,0.438655378,37.39743907,38.83557167,0.196284926,0.222202687,0.104504204,0.112938689,0.177220989,0.233234301,0.095475805,0.154439943,1.370959384,0.347836457,0.056408,NA
44,3.891626705,6.268222342,6.979061933,0.096638086,0.047893135,0.079747992,0.055289146,0.241117155,46.32518958,51.44596129,0.212466353,0.267451618,0.105074737,0.11351218,0.178452349,0.199533407,0.068785759,0.14470349,1.395205115,0.378997537,0.038916,NA
45,2.984161177,4.900107311,5.592433967,0.082795923,1.477733592,1.037220548,0.468973557,0.311588556,28.92859989,38.65657573,0.217881964,0.261101903,0.142167992,0.170935541,0.15932476,0.232975068,0.12341904,0.162212668,1.218799694,0.367927043,0.034588,NA
46,3.02923312,5.151475011,6.125401281,0.084711561,-0.606465158,-1.426100747,0.773190425,0.503180933,35.25446076,35.6322673,0.198486144,0.228461594,0.133197257,0.156435913,0.195856885,0.244689655,0.103616708,0.182228403,1.173915277,0.347346751,0.036245,NA
47,3.535954907,5.597328066,6.230245743,0.106883812,0.185019819,-0.812289194,0.243837675,0.068904963,50.28309103,29.20479213,0.206314287,0.236202638,0.156637271,0.192758341,0.123418955,0.127941679,0.051883792,0.090819378,NA,0.553195085,0.029891,NA
