kreiskey1871,county1871,rbkey,lat_rad,lon_rad,kmwittenberg,zupreussen,hhsize,gpop,f_prot,f_jew,f_rw,f_miss,f_young,f_fem,f_ortsgeb,f_pruss,f_blind,f_deaf,f_dumb,f_urban,lnpop,lnkmb,poland,latlon,f_over3km,f_mine,inctaxpc,perc_secB,perc_secC,perc_secBnC,lnyteacher,rhs,yteacher,pop,kmb,uni1517,reichsstadt,hansestadt,f_cath,sh_al_in_tot,ncloisters1517_pkm2,school1517,dnpop1500
252,Schleusingen,17,88.16000366,18.76000023,200.2400055,1815,4.314321041,1.51748693,98.67797852,0.696353316,96.04010773,1.095059752,26.6080265,50.96730042,81.68276215,98.12299347,0.104714781,0.089007564,0.222518921,33.50087738,10.55056477,5.669743061,0,16.53881645,0,0.104996607,148.1797485,54.19060135,5.669816494,59.8604126,680.4967651,0,902.3186035,38199.00391,289.960022,0,0,0,0.361266017,0.549019635,0.002183788,0,0
253,Hadersleben,18,96.43000031,16.55999947,429.3800049,1866,4.686213493,0.790150642,99.85083008,0.023203779,95.33563995,1.203463197,23.42753029,51.66652679,44.28772736,87.68708038,0.076240987,0.058009446,0.248611927,14.82058525,11.00766754,5.986552715,0,15.96880817,6.661786079,0.029529013,275.2234192,16.50671768,5.429646969,21.93636513,697.875,0,1073.575562,60334.99219,398.0400696,0,0,0,0.049722381,0.624203801,0.00062979,0,0
254,Apenrade,18,96.08000183,16.43000031,412.3999939,1866,4.702776909,-0.461317658,99.7184906,0.072093107,96.93262482,0.581498563,22.66126633,51.24102783,44.04545593,95.54396057,0.130454183,0.02746404,0.329568475,20.35428619,10.27948952,5.952671528,0,15.78594303,8.424983978,0.178240404,275.1927795,19.07172394,7.322116375,26.39383888,696.9038696,0,1063.200195,29129,384.7799072,0,0,0,0.17508325,0.544444442,0,0,0
255,Sonderburg,18,95.84000397,17.12000084,386.3099976,1866,4.373914242,-0.903012991,99.70793915,0.037968397,97.80405426,0.706080317,20.16706085,50.576828,48.49440765,93.411026,0.084698737,0.067174859,0.221969098,23.18992996,10.44112015,5.875717163,0,16.4078083,5.585053921,0.006275494,292.8163147,21.13586426,5.735801697,26.87166595,703.1004639,0,1131.166504,34238.98438,356.2800903,0,0,0,0.236572325,0.5,0,0,0
256,Flensburg,18,95.61000061,16.46999931,386.8999939,1866,4.445281982,-0.127807766,99.29455566,0.108775638,97.88874054,0.935457528,21.68154335,49.98720169,44.54042435,98.73788452,0.110375278,0.047989249,0.353520811,35.44326019,11.04314613,5.895091534,0,15.74696732,6.535420418,0.168535888,312.5625916,26.57044792,10.03248215,36.60292816,710.5947266,0,1219.196411,62514.01953,363.2500916,0,0,0,0.503887117,0.5,0.001068296,0,3.20E-05
257,Schleswig,18,95.15000153,16.69999886,357.7000122,1866,4.608194351,0.77318728,98.58732605,0.474183351,98.2580719,0.96664542,22.50065804,50.05598068,48.91497421,99.27884674,0.087262906,0.243677542,1.557560563,32.12262726,11.01429176,5.821061611,0,15.89004993,3.443889141,0.018185787,305.660553,21.11006165,7.216119766,28.32618141,700.0817261,0,1097.529785,60735.99219,337.3299866,0,0,0,0.581203938,0.614173234,0,1,0
258,Eckernforde,18,95.08000183,17.17000008,344.0299988,1866,4.950476646,0.199587524,99.60162354,0.008852887,96.10080719,1.490177631,24.40298271,49.63149643,52.19662094,98.7672348,0.081889205,0.055330545,0.320917159,10.15204811,10.7184763,5.771939278,0,16.32523537,8.133315086,0.074211501,260.164032,18.86827469,4.632034302,23.50030899,694.4646606,0,1037.5802,45183.00391,321.1599426,0,0,0,0.285505623,0.666666687,0,0,0
259,Eiderstedt,18,94.83000183,15.31999969,375.2399902,1866,4.420546532,-2.603556871,99.82254791,0.005724099,96.42417145,1.338199496,24.71665764,51.45964813,52.65598297,99.74241638,0.034344591,0.04006869,0.286204934,26.77160835,9.768239975,5.905797958,0,14.52795601,4.183976173,0.02787845,554.0702515,20.85308075,10.09199905,30.9450798,713.4733887,0,1254.802979,17469.99219,367.1600952,0,0,0,0.131654263,0.375,0,0,0
260,Husum,18,95.09000397,15.82999992,374.8900146,1866,4.63864994,-0.43632701,99.08699799,0.002809225,97.61117554,1.051770926,24.41217041,50.65314865,69.28955078,99.71907806,0.154507399,0.050566059,0.280922562,19.99325752,10.48001671,5.88835144,0,15.05274773,2.391752481,0.121163167,345.0514221,18.77355957,6.583199024,25.35675812,697.3600464,0,1068.061401,35597.00391,360.809967,0,0,0,0.884905994,0.517241359,0.001153083,0,4.61E-05
261,Tondern,18,95.88999939,15.46999931,422.8500061,1866,4.477211952,-0.769060969,99.83233643,0.02566296,96.8138504,0.881578386,23.34302902,52.62446594,54.71855927,96.46535492,0.119760484,0.047904193,0.299401224,11.83062458,10.97592735,5.997844219,0,14.83418179,4.239824295,0.051393557,298.8232727,17.99960518,6.985570431,24.98517418,696.5004272,0,1058.919434,58450.02344,402.5600281,0,0,0,0.035928145,0.604761899,0.000568182,0,0
