"pref","year","emp.rate","cap.rate","age","age.hus","emp.rate.hus","urate","nuc.rate","numhh","hh.type"
"北海道",1990,0.270199051526275,0.187579122104445,31.6481810257272,34.1772110394024,0.989507609382372,0.0362266647593162,0.824096510800285,250086,"all"
"青森県",1990,0.450784447972963,0.363190505984217,31.4002651244774,34.2434337990007,0.982038545020176,0.0448693046967294,0.564962780602211,68647,"all"
"岩手県",1990,0.526724329119539,0.261866512444844,31.5429775369895,34.2520831353167,0.99006748407946,0.0262788642867505,0.496609954693787,63126,"all"
"宮城県",1990,0.420634254988025,0.132799058226931,31.5038534298788,34.1971073648504,0.990252266860503,0.0273028860931223,0.579067535202736,107307,"all"
"秋田県",1990,0.547322877230936,0.268256293767389,31.464961755389,34.2059221200649,0.991810244920034,0.0271717277254839,0.414471142702619,51772,"all"
"山形県",1990,0.677741038156721,0.222824652736127,31.4586154411379,34.2309697510453,0.994908938224951,0.0174535054351484,0.320299515386903,57159,"all"
"福島県",1990,0.538244572641593,0.15279568825844,31.4248818216662,34.0613642840997,0.992049374465618,0.0242398381635141,0.485892307843503,101753,"all"
"茨城県",1990,0.364148799489049,0.179772714293872,31.516862110196,34.3735805898211,0.990924686782868,0.023773700518653,0.604518347431508,134651,"all"
"栃木県",1990,0.395588440897799,0.19369881030669,31.4777539980427,34.2492821268404,0.991708161706979,0.0226476010261112,0.574556639385694,92983,"all"
"群馬県",1990,0.354379182820688,0.275512437655373,31.5755449538004,34.2295342055574,0.991888540048937,0.0246013829219505,0.63958749986034,89503,"all"
"埼玉県",1990,0.247636867218595,0.145652789783747,31.8069926599537,34.6945078748738,0.991412581691128,0.0267421086489834,0.787490736921875,298227,"all"
"千葉県",1990,0.269501091423964,0.186963950304374,31.8712513028259,34.7850583076046,0.990942164362549,0.026568947617132,0.77070264104934,254255,"all"
"東京都",1990,0.279331459327537,0.250915655375296,32.2627530452594,35.2186376413676,0.987400579634351,0.0309574029417035,0.882264496306465,458910,"all"
"神奈川県",1990,0.210874346874592,0.128101715631716,31.921180033202,34.8623924897877,0.991457578479327,0.0296826208979911,0.85642224922626,359617,"all"
"新潟県",1990,0.575734494015234,0.400573578159336,31.6985400797969,34.407961552412,0.9943054044251,0.0201905719757704,0.427348567283279,110280,"all"
"富山県",1990,0.562245428546668,0.421816918009006,30.9188837854233,34.0338634197071,0.994496923476904,0.0199206473591738,0.430388248548401,46156,"all"
"石川県",1990,0.547978167732848,0.496571198063735,30.8886280493769,34.0588062679735,0.992742140579455,0.0225174168978977,0.552868908582272,51117,"all"
"福井県",1990,0.602614413056472,0.408975879094625,31.0225837469789,34.1210270537176,0.993736843473063,0.0188698078637878,0.435718183944489,38479,"all"
"山梨県",1990,0.390750549024674,0.361824781154366,31.8042888515696,34.7456400981785,0.993127502906601,0.0241968203152193,0.602221935150497,38705,"all"
"長野県",1990,0.429680331586108,0.435805093938474,32.0306906989253,34.9628653089636,0.993851313583007,0.0172822476965931,0.526793718426021,94817,"all"
"岐阜県",1990,0.386168699625016,0.32297318418291,31.1129153915779,34.3336817378561,0.993685616999267,0.0202431505915088,0.51954657126848,92804,"all"
"静岡県",1990,0.356475237216346,0.189048292913027,31.4493149712501,34.4249899434467,0.993273940512529,0.0236083025104586,0.590822507749462,169044,"all"
"愛知県",1990,0.307229475966426,0.314661271310506,31.0039385104861,34.1498879063994,0.992199953174061,0.024545964894356,0.717168121157306,311793,"all"
"三重県",1990,0.364349650523284,0.334353782216825,30.8370432904195,33.9417373275894,0.990664067834486,0.0259518104438546,0.605333399545618,80549,"all"
"滋賀県",1990,0.354673767438821,0.248424529043709,31.3624824386578,34.5212369719345,0.991488875093933,0.0215606434817435,0.574525435357925,61214,"all"
"京都府",1990,0.324063263891423,0.312864249272298,31.7758491736291,34.7482761136853,0.981721332409063,0.0284888852609841,0.7718267722281,109636,"all"
"大阪府",1990,0.231480798414973,0.20598104193636,31.3369419736953,34.2777643116095,0.982036716971588,0.0423397172695839,0.861586818143495,379552,"all"
"兵庫県",1990,0.249258514722602,0.199859590807496,31.4602193148676,34.4487345317932,0.985895302278831,0.0333265300615297,0.768961426288125,242756,"all"
"奈良県",1990,0.243051171223674,0.249843242318874,31.5421138685186,34.6012173603354,0.986644650575494,0.0286017366578557,0.683372994674049,61773,"all"
"和歌山県",1990,0.325538249126289,0.329919359585614,30.9549984898822,34.0175173663546,0.984898822108124,0.0342301006395624,0.670772748845839,46354,"all"
